Date,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
320,4.2,17,11.5,3.1,9.3,10.3,5.6,5.1,13.4
321,14,15.6,18.8,4,4.2,4.1,10,6.7,3.2
322,9.6,10.5,9.6,7.7,11.2,3.2,10.5,8.9,3.2
323,9.7,8,18.2,9.3,15.6,5,10.4,10.7,8.5
324,3.2,14.4,8.3,4.2,6,6.1,5.9,10.7,13.9
325,2.9,15.5,11.5,4,4.1,7.4,6.8,8.7,11.1
326,1.7,5.8,7.8,2.6,3.8,5.9,2.1,7.9,7.8
327,7,6.1,11.4,4.9,4.1,3.2,5.7,5.9,8.3
328,10.8,8.7,14.3,8.4,2.7,7,11.1,8.6,8.2
329,4.4,4,11.4,4.8,5,5.7,4.5,7.8,9.9
330,4.5,5.2,6.6,11.8,7.8,8,8.2,6,11.1
331,4.4,7.9,10.6,11.2,6.9,3.7,4.9,3.6,6
332,0.8,7.8,5.8,2.8,4,4.9,2.1,2.1,8.8
333,5,8.3,6.7,1.8,3.9,7.2,4.4,3.8,9
334,2.5,9.6,7.5,2.5,3.6,9.4,2.8,2.6,8.7
335,5.4,10,14.5,5.2,2.7,12.2,5.5,10.1,12.9
336,11.3,12.4,15.1,6.4,5.7,5.1,7.8,11.2,10.8
337,11.5,10.6,19.8,2.9,4,6.9,9.9,7.1,9
338,4.3,10.6,12.6,4.8,4.1,11.3,3.5,5.6,9.6
339,2.4,12.9,10.2,2.6,3,6.4,4.2,4.3,6.9
340,8.5,6.4,13.4,2.6,3.4,2.2,10.7,5.5,3
341,10.5,3.6,17.4,4.7,2.5,3.7,11,3.8,9.3
342,4.4,6.9,8.3,5.4,2.7,5.3,6.7,6.7,7.5
343,9.4,6.3,12.2,1.5,2.5,1.5,12.2,9.4,5.4
344,5.6,10.2,12.7,4.2,2.6,3.2,5.5,5.9,5
345,2.1,1.9,12.2,4,3.3,3.9,2,3.6,9.3
346,1.8,3.3,7,11.5,2.7,6.3,4.8,2.4,10.3
347,1.8,11.2,6.3,10.7,7.5,4.8,5.1,2.8,6.8
348,5.3,9.4,9.4,6.1,7.5,6.8,7.7,1.1,9
349,4.7,8.8,7.9,7.7,4.9,11.7,6.8,7.1,9.7
350,5.1,5.5,14.1,4,3.3,6.8,7.2,5.8,7
351,9,9.3,12.5,3.8,4.6,7.8,6.7,5.8,7.9
352,8.1,6.6,19.9,11.1,7.6,2.1,8.2,8.1,3.9
353,3.1,4.5,11.3,5.2,5.5,5.2,2.9,8.8,10.8
354,1.8,7.9,6.1,3.8,5.9,8,3.1,6.5,7.4
355,1.9,8.7,4.1,2.8,6.8,4.2,4.1,3.5,4.8
356,2,7.2,4.5,2.1,5.4,1.3,2.7,9.6,5.9
357,8.5,9.2,10.1,7.1,10,3.9,9.5,5.7,7.1
358,4.4,10.5,9.2,5.3,8.6,7.4,5,4.4,15.8
359,6.7,17.4,14.6,6.2,5,15.5,6,7.8,16.7
360,11.8,9.4,21.7,5,4.4,3.8,12.2,12.2,6.3
361,9.7,12.8,18.7,9.3,4.5,3.1,6.8,7,8.3
362,4,5,9,3.7,2.9,6.1,3.1,7.2,13.7
363,3.6,13.2,8.6,8.1,3.7,4.6,8.2,6.6,8.2
364,7.7,5.6,13.8,4,3.6,11.4,10,6.9,11.7
365,3.2,10.7,8.3,6,6.6,10.2,6,6.8,12.2
366,7.5,8.7,9.9,8.5,5.8,8.7,10.3,8.7,15.4
